PAU8,YAL068C
SEO1,YAL067C
TDA8,YAL064C-A
FLO9,YAL063C
GDH3,YAL062W
BDH2,YAL061W
BDH1,YAL060W
ECM1,YAL059W
CNE1,YAL058W
GPB2,YAL056W
PEX22,YAL055W
ACS1,YAL054C
FLC2,YAL053W
OAF1,YAL051W
AIM2,YAL049C
GEM1,YAL048C
SPC72,YAL047C
BOL3,YAL046C
BOL1,YAL044W-A
GCV3,YAL044C
PTA1,YAL043C
ERV46,YAL042W
CDC24,YAL041W
CLN3,YAL040C
CYC3,YAL039C
CDC19,YAL038W
RBG1,YAL036C
FUN12,YAL035W
MTW1,YAL034W-A
FUN19,YAL034C
POP5,YAL033W
PRP45,YAL032C
GIP4,YAL031C
SNC1,YAL030W
MYO4,YAL029C
FRT2,YAL028W
SAW1,YAL027W
HRA1,HRA1
DRS2,YAL026C
MAK16,YAL025C
LTE1,YAL024C
PMT2,YAL023C
FUN26,YAL022C
CCR4,YAL021C
ATS1,YAL020C
FUN30,YAL019W
LDS1,YAL018C
PSK1,YAL017W
TPD3,YAL016W
NTG1,YAL015C
SYN8,YAL014C
DEP1,YAL013W
CYS3,YAL012W
SWC3,"YAL011W,YOL130W"
MDM10,YAL010C
SPO7,YAL009W
FUN14,YAL008W
ERP2,YAL007C
TRN1,tP(UGG)A
SSA1,YAL005C
EFB1,YAL003W
SNR18,snR18
VPS8,YAL002W
TFC3,YAL001C
NUP60,YAR002W
ERP1,YAR002C-A
SWD1,YAR003W
RFA1,YAR007C
SEN34,YAR008W
TGA1,tA(UGC)A
BUD14,YAR014C
ADE1,YAR015W
KIN3,"YAR018C,YOR233W"
CDC15,YAR019C
PAU7,YAR020C
SUP56,tL(CAA)A
UIP3,YAR027W
PRM9,YAR031W
MST28,YAR033W
YAT1,YAR035W
SWH1,YAR042W
FLO1,YAR050W
PHO11,YAR071W
IMD1,YAR073W
PAU1,YJL223C
VTH2,YJL222W
IMA4,YJL221C
HXT9,YJL219W
REE1,YJL217W
IMA5,YJL216C
HXT8,YJL214W
OPT1,YJL212C
PEX2,YJL210W
CBP1,YJL209W
NUC1,YJL208C
LAA1,YJL207C
NCE101,YJL205C
RCY1,YJL204C
PRP21,YJL203W
ECM25,YJL201W
ACO2,YJL200C
MBB1,YJL199C
PHO90,YJL198W
UBP12,YJL197W
ELO1,YJL196C
CDC6,YJL194W
SOP4,YJL192C
RPS14B,YJL191W
RPS22A,YJL190C
RPL39,YJL189W
BUD19,YJL188C
SWE1,YJL187C
MNN5,YJL186W
ATG36,YJL185C
GON7,YJL184W
MNN11,YJL183W
RBH1,"YJL181W,YJL181W"
ATP12,YJL180C
PFD1,YJL179W
ATG27,YJL178C
RPL17B,YJL177W
SWI3,YJL176C
KRE9,YJL174W
RFA3,YJL173C
CPS1,YJL172W
TOH1,YJL171C
ASG7,YJL170C
SET2,YJL168C
ERG20,YJL167W
QCR8,YJL166W
HAL5,YJL165C
TPK1,YJL164C
JJJ2,YJL162C
FMP33,YJL161W
PIR5,YJL160C
HSP150,YJL159W
CIS3,YJL158C
FAR1,YJL157C
SSY5,YJL156C
FBP26,YJL155C
VPS35,YJL154C
INO1,YJL153C
SNA3,YJL151C
DAS1,YJL149W
SNR128,snR128
SNR190,snR190
RPA34,YJL148W
MRX5,YJL147C
IDS2,YJL146W
SFH5,YJL145W
TIM17,YJL143W
IRC9,YJL142C
YAK1,YJL141C
RPB4,YJL140W
YUR1,YJL139C
TIF2,YJL138C
GLG2,YJL137C
RPS21B,YJL136C
LCB3,YJL134W
MRS3,YJL133W
AIM23,YJL131C
URA2,YJL130C
TRK1,YJL129C
PBS2,YJL128C
SPT10,YJL127C
NIT2,YJL126W
GCD14,YJL125C
LSM1,YJL124C
MTC1,YJL123C
ALB1,YJL122W
RPE1,YJL121C
PHO86,YJL117W
NCA3,YJL116C
ASF1,YJL115W
MDV1,YJL112W
CCT7,YJL111W
GZF3,YJL110C
UTP10,YJL109C
PRM10,YJL108C
IME2,YJL106W
SET4,YJL105W
PAM16,YJL104W
SNR37,snR37
GSM1,YJL103C
MEF2,YJL102W
GSH1,YJL101C
LSB6,YJL100W
CHS6,YJL099W
SAP185,YJL098W
PHS1,YJL097W
MRPL49,YJL096W
BCK1,YJL095W
KHA1,YJL094C
TOK1,YJL093C
SRS2,YJL092W
GWT1,YJL091C
DPB11,YJL090C
SIP4,YJL089W
ARG3,YJL088W
TRL1,YJL087C
EXO70,YJL085W
ALY2,YJL084C
TAX4,YJL083W
IML2,YJL082W
ARP4,YJL081C
SCP160,YJL080C
PRY1,YJL079C
